vendor_name,product_category,sku_id,origin_region,destination_dc,shipping_route,order_status,delay_reason,date_offset,order_value_eur,delivery_delay_days,cost_variance_pct
Hartmann Foods GmbH,Sauces & Condiments,SKU-087,Thailand,DC-Berlin,Suez-Canal,Delivered,On-Time,-638,18057.18,0,2.9
Hartmann Foods GmbH,Pasta & Noodles,SKU-150,Turkey,DC-Berlin,Cape-of-Good-Hope,Partially-Delivered,Hormuz-Closure,-45,21909.29,27,12.1
PacRim Ingredients,Beverages,SKU-033,Spain,DC-München,Cape-of-Good-Hope,Delayed,On-Time,-324,51858.07,3,2.9
SolVita Mediterranean,Cooking Oils,SKU-097,China,DC-Berlin,Suez-Canal,Delivered,On-Time,-246,29274.32,1,-0.3
SolVita Mediterranean,Baking Ingredients,SKU-168,Turkey,DC-Berlin,Suez-Canal,Delivered,On-Time,-474,10556.41,1,3.2
PacRim Ingredients,Canned Goods,SKU-117,Vietnam,DC-Hamburg,Suez-Canal,Delayed,Weather,-211,27438,0,1.3
SolVita Mediterranean,Snacks & Nuts,SKU-014,Spain,DC-München,Suez-Canal,Delivered,On-Time,-265,13117.65,1,0.7
Hartmann Foods GmbH,Beverages,SKU-180,Germany,DC-Mülheim,Air-Freight,Partially-Delivered,Route-Diversion,-222,18332.64,3,5.2
PacRim Ingredients,Rice & Grains,SKU-178,Vietnam,DC-München,Direct-EU,In-Transit,Hormuz-Closure,-699,21673.81,0,2.2
SolVita Mediterranean,Beverages,SKU-097,China,DC-München,Cape-of-Good-Hope,Delayed,Route-Diversion,-55,107792.86,22,15
PacRim Ingredients,Rice & Grains,SKU-045,China,DC-Stuttgart,Air-Freight,Delivered,On-Time,-151,4744.46,3,8.3
Hartmann Foods GmbH,Rice & Grains,SKU-068,Spain,DC-München,Hormuz-Strait,Delivered,On-Time,-724,4622.33,0,2.8
SolVita Mediterranean,Baking Ingredients,SKU-142,Greece,DC-Mülheim,Suez-Canal,Delivered,On-Time,-206,36199.86,2,1.4
Hartmann Foods GmbH,Snacks & Nuts,SKU-014,Germany,DC-Berlin,Hormuz-Strait,Delivered,On-Time,-562,40354.8,0,0.8
PacRim Ingredients,Canned Goods,SKU-178,Italy,DC-Stuttgart,Air-Freight,Delivered,On-Time,-661,2748.06,0,7.7
SolVita Mediterranean,Canned Goods,SKU-022,Italy,DC-Berlin,Hormuz-Strait,Delivered,On-Time,-252,500,1,4.4
SolVita Mediterranean,Baking Ingredients,SKU-013,Germany,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-189,17686.33,1,3
Hartmann Foods GmbH,Baking Ingredients,SKU-082,Greece,DC-Berlin,Suez-Canal,Delivered,Weather,-336,22986.99,3,2.9
PacRim Ingredients,Canned Goods,SKU-141,Turkey,DC-München,Suez-Canal,Cancelled,On-Time,-268,17879.04,6,1.7
PacRim Ingredients,Canned Goods,SKU-137,Thailand,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-624,8281.33,0,4.8
Hartmann Foods GmbH,Baking Ingredients,SKU-059,China,DC-Stuttgart,Air-Freight,Delivered,Hormuz-Closure,-611,3636.38,8,3
SolVita Mediterranean,Canned Goods,SKU-073,Greece,DC-München,Cape-of-Good-Hope,Delayed,Weather,-21,36800.01,27,11.8
SolVita Mediterranean,Baking Ingredients,SKU-131,China,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-624,38355.05,2,5
SolVita Mediterranean,Canned Goods,SKU-186,Greece,DC-München,Hormuz-Strait,Delivered,On-Time,-379,28416.49,1,2.4
SolVita Mediterranean,Baking Ingredients,SKU-093,Thailand,DC-Stuttgart,Air-Freight,Delivered,On-Time,-719,15653.92,0,6.1
PacRim Ingredients,Sauces & Condiments,SKU-002,China,DC-München,Cape-of-Good-Hope,Delayed,Route-Diversion,-122,11932.75,10,8
PacRim Ingredients,Snacks & Nuts,SKU-187,Germany,DC-Berlin,Cape-of-Good-Hope,Delivered,Carrier-Shortage,-150,31367.71,3,5.5
PacRim Ingredients,Rice & Grains,SKU-031,Greece,DC-Berlin,Direct-EU,Delayed,Hormuz-Closure,-22,13832.81,23,6.6
PacRim Ingredients,Sauces & Condiments,SKU-007,Turkey,DC-Stuttgart,Air-Freight,Delivered,On-Time,-233,22945.99,1,6.2
PacRim Ingredients,Sauces & Condiments,SKU-048,Thailand,DC-München,Cape-of-Good-Hope,Delivered,On-Time,-604,16055,0,2.7
PacRim Ingredients,Baking Ingredients,SKU-123,Thailand,DC-Stuttgart,Hormuz-Strait,Delayed,On-Time,-212,22551.97,2,0.1
SolVita Mediterranean,Rice & Grains,SKU-005,Germany,DC-Berlin,Suez-Canal,Delayed,On-Time,-642,11541.34,4,1.7
PacRim Ingredients,Snacks & Nuts,SKU-186,Spain,DC-Hamburg,Suez-Canal,Delivered,On-Time,-396,41993.8,3,0.6
PacRim Ingredients,Snacks & Nuts,SKU-074,China,DC-Stuttgart,Air-Freight,Delivered,On-Time,-232,35199.3,1,5.4
Hartmann Foods GmbH,Baking Ingredients,SKU-058,Spain,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-654,39584.14,0,-1.1
PacRim Ingredients,Pasta & Noodles,SKU-198,Vietnam,DC-Hamburg,Hormuz-Strait,In-Transit,Weather,-391,23413.93,2,2.5
PacRim Ingredients,Rice & Grains,SKU-084,Turkey,DC-Stuttgart,Suez-Canal,Delivered,Port-Congestion,-662,14577.9,1,0.7
PacRim Ingredients,Snacks & Nuts,SKU-109,Vietnam,DC-Mülheim,Air-Freight,Partially-Delivered,Route-Diversion,-62,52933.86,21,11.5
SolVita Mediterranean,Sauces & Condiments,SKU-066,Italy,DC-München,Direct-EU,Partially-Delivered,Carrier-Shortage,-173,4628.51,3,3.7
PacRim Ingredients,Baking Ingredients,SKU-070,Turkey,DC-Berlin,Hormuz-Strait,In-Transit,On-Time,-226,3591.81,10,3.4
Hartmann Foods GmbH,Beverages,SKU-160,Greece,DC-Mülheim,Hormuz-Strait,In-Transit,Weather,-220,14094.34,7,3.4
SolVita Mediterranean,Beverages,SKU-149,Vietnam,DC-Stuttgart,Suez-Canal,Delayed,On-Time,-164,9602.32,6,2.6
SolVita Mediterranean,Canned Goods,SKU-055,Greece,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-651,23349.03,0,3.7
PacRim Ingredients,Beverages,SKU-141,Turkey,DC-Mülheim,Suez-Canal,Delivered,On-Time,-207,73047.9,3,4.3
Hartmann Foods GmbH,Rice & Grains,SKU-002,Greece,DC-Hamburg,Hormuz-Strait,Partially-Delivered,Customs-Hold,-164,5096.41,6,3.9
Hartmann Foods GmbH,Snacks & Nuts,SKU-064,Turkey,DC-Hamburg,Suez-Canal,Delivered,On-Time,-529,30339.21,1,1.2
SolVita Mediterranean,Baking Ingredients,SKU-079,Spain,DC-München,Air-Freight,Delivered,Port-Congestion,-644,15078.83,5,5.3
SolVita Mediterranean,Sauces & Condiments,SKU-196,Thailand,DC-Berlin,Suez-Canal,Delivered,On-Time,-234,30538.72,1,0.6
Hartmann Foods GmbH,Rice & Grains,SKU-141,Italy,DC-Hamburg,Suez-Canal,Delivered,Port-Congestion,-416,19963.42,1,-0.9
SolVita Mediterranean,Pasta & Noodles,SKU-025,Thailand,DC-Berlin,Air-Freight,In-Transit,On-Time,-557,8085.88,0,5.3
PacRim Ingredients,Cooking Oils,SKU-120,Turkey,DC-Hamburg,Direct-EU,Delivered,On-Time,-703,26585.77,0,1.3
Hartmann Foods GmbH,Canned Goods,SKU-174,Greece,DC-Berlin,Direct-EU,Partially-Delivered,Hormuz-Closure,-125,57387.34,15,6.4
SolVita Mediterranean,Sauces & Condiments,SKU-038,Germany,DC-Mülheim,Air-Freight,In-Transit,Carrier-Shortage,-313,11601.15,3,8.6
Hartmann Foods GmbH,Cooking Oils,SKU-131,Thailand,DC-Mülheim,Direct-EU,Delivered,On-Time,-352,27926.87,2,0.4
Hartmann Foods GmbH,Rice & Grains,SKU-143,Germany,DC-Berlin,Direct-EU,In-Transit,Route-Diversion,-400,142173.73,7,1.5
SolVita Mediterranean,Rice & Grains,SKU-117,Turkey,DC-München,Suez-Canal,Cancelled,Weather,-570,3911.63,1,0.6
Hartmann Foods GmbH,Pasta & Noodles,SKU-005,Italy,DC-Hamburg,Direct-EU,In-Transit,Customs-Hold,-276,5305.63,3,2.8
Hartmann Foods GmbH,Canned Goods,SKU-024,Thailand,DC-Stuttgart,Direct-EU,Delivered,On-Time,-269,10878.5,1,1.7
PacRim Ingredients,Baking Ingredients,SKU-182,Spain,DC-München,Direct-EU,Delivered,Route-Diversion,-559,36063.77,3,1.9
PacRim Ingredients,Rice & Grains,SKU-014,Italy,DC-München,Suez-Canal,Delayed,Weather,-69,34677.78,13,8.7
Hartmann Foods GmbH,Snacks & Nuts,SKU-117,Germany,DC-München,Air-Freight,Delivered,On-Time,-535,31929.06,1,7.2
PacRim Ingredients,Sauces & Condiments,SKU-132,Turkey,DC-Berlin,Suez-Canal,Delivered,Weather,-247,16210.22,5,3.3
SolVita Mediterranean,Rice & Grains,SKU-158,Vietnam,DC-München,Cape-of-Good-Hope,Partially-Delivered,Weather,-72,11321.66,20,12.3
PacRim Ingredients,Pasta & Noodles,SKU-057,Germany,DC-Mülheim,Direct-EU,In-Transit,On-Time,-333,6747.58,3,0.8
SolVita Mediterranean,Snacks & Nuts,SKU-053,Vietnam,DC-München,Cape-of-Good-Hope,Partially-Delivered,Port-Congestion,-390,4094.16,6,5.4
SolVita Mediterranean,Baking Ingredients,SKU-198,Italy,DC-Berlin,Hormuz-Strait,Partially-Delivered,Route-Diversion,-185,3854.37,5,2.6
SolVita Mediterranean,Baking Ingredients,SKU-195,Italy,DC-München,Direct-EU,Delivered,On-Time,-286,28647.02,1,0.7
Hartmann Foods GmbH,Pasta & Noodles,SKU-194,Greece,DC-Stuttgart,Air-Freight,Delivered,On-Time,-505,22948.45,1,7.8
SolVita Mediterranean,Rice & Grains,SKU-149,Spain,DC-Stuttgart,Cape-of-Good-Hope,Delivered,On-Time,-586,11102.11,2,3.7
PacRim Ingredients,Baking Ingredients,SKU-101,Germany,DC-München,Direct-EU,Delivered,On-Time,-235,2775.56,1,1.5
PacRim Ingredients,Pasta & Noodles,SKU-090,China,DC-Mülheim,Suez-Canal,In-Transit,On-Time,-164,23501.49,8,1.3
PacRim Ingredients,Snacks & Nuts,SKU-161,Spain,DC-Hamburg,Air-Freight,Delivered,On-Time,-69,61548.58,2,14.5
Hartmann Foods GmbH,Cooking Oils,SKU-185,Greece,DC-Hamburg,Direct-EU,Cancelled,On-Time,-145,55719.5,4,2.9
PacRim Ingredients,Rice & Grains,SKU-096,China,DC-Berlin,Air-Freight,Delivered,On-Time,-468,26794.37,2,4.7
Hartmann Foods GmbH,Sauces & Condiments,SKU-051,Turkey,DC-Stuttgart,Direct-EU,In-Transit,On-Time,-486,756.71,10,1.4
PacRim Ingredients,Baking Ingredients,SKU-103,Spain,DC-Stuttgart,Cape-of-Good-Hope,Delivered,On-Time,-510,44894.98,1,4.1
PacRim Ingredients,Beverages,SKU-070,Vietnam,DC-Berlin,Hormuz-Strait,Partially-Delivered,Port-Congestion,-162,70208.94,10,4.4
SolVita Mediterranean,Baking Ingredients,SKU-190,Thailand,DC-Berlin,Suez-Canal,Delivered,Hormuz-Closure,-259,18946.31,6,3.2
PacRim Ingredients,Baking Ingredients,SKU-134,China,DC-Mülheim,Hormuz-Strait,Cancelled,On-Time,-679,4026.49,0,1.9
Hartmann Foods GmbH,Snacks & Nuts,SKU-061,Spain,DC-München,Direct-EU,Delivered,Port-Congestion,-303,42778.31,3,1.5
Hartmann Foods GmbH,Canned Goods,SKU-139,China,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-419,1367.7,1,4.5
SolVita Mediterranean,Rice & Grains,SKU-093,Germany,DC-Berlin,Direct-EU,Delivered,Customs-Hold,-294,11147.08,5,-0.9
SolVita Mediterranean,Baking Ingredients,SKU-073,Italy,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-457,13426.12,1,6
Hartmann Foods GmbH,Cooking Oils,SKU-059,Greece,DC-Berlin,Direct-EU,Delivered,On-Time,-669,14199.99,1,-0.3
PacRim Ingredients,Sauces & Condiments,SKU-012,Italy,DC-München,Hormuz-Strait,Delivered,On-Time,-544,1034.97,1,2.1
Hartmann Foods GmbH,Canned Goods,SKU-136,Spain,DC-Hamburg,Suez-Canal,Delivered,On-Time,-698,27783.88,0,0.1
SolVita Mediterranean,Snacks & Nuts,SKU-105,Greece,DC-Stuttgart,Cape-of-Good-Hope,Cancelled,Port-Congestion,-112,29972.54,10,6.3
PacRim Ingredients,Cooking Oils,SKU-085,Greece,DC-Mülheim,Hormuz-Strait,Partially-Delivered,Hormuz-Closure,-47,15346.65,25,12.5
Hartmann Foods GmbH,Canned Goods,SKU-194,Turkey,DC-München,Cape-of-Good-Hope,In-Transit,Carrier-Shortage,-27,14882.78,22,12.7
PacRim Ingredients,Pasta & Noodles,SKU-024,Germany,DC-Hamburg,Suez-Canal,Delivered,On-Time,-347,24911.72,1,-1.4
SolVita Mediterranean,Canned Goods,SKU-072,Italy,DC-Hamburg,Suez-Canal,Delivered,On-Time,-151,14995.39,2,1.7
SolVita Mediterranean,Rice & Grains,SKU-070,Spain,DC-Mülheim,Air-Freight,Partially-Delivered,Hormuz-Closure,-65,20356.33,17,12.4
Hartmann Foods GmbH,Baking Ingredients,SKU-175,Italy,DC-München,Direct-EU,Delayed,Hormuz-Closure,-24,50347.61,27,9.8
PacRim Ingredients,Rice & Grains,SKU-003,China,DC-München,Suez-Canal,Delivered,Route-Diversion,-570,14978.8,9,3.3
Hartmann Foods GmbH,Snacks & Nuts,SKU-172,Turkey,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-451,34855.59,1,0.6
Hartmann Foods GmbH,Snacks & Nuts,SKU-114,Greece,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-429,50738.63,1,3.7
PacRim Ingredients,Sauces & Condiments,SKU-024,Germany,DC-Stuttgart,Air-Freight,Partially-Delivered,Route-Diversion,-172,26550.09,6,7
Hartmann Foods GmbH,Baking Ingredients,SKU-080,Greece,DC-Stuttgart,Suez-Canal,Partially-Delivered,Customs-Hold,-171,37365.65,9,-0.5
SolVita Mediterranean,Snacks & Nuts,SKU-016,Vietnam,DC-Hamburg,Direct-EU,Delivered,Carrier-Shortage,-696,32786.34,2,-0.7
Hartmann Foods GmbH,Cooking Oils,SKU-100,Italy,DC-Berlin,Suez-Canal,Partially-Delivered,Weather,-143,3718.54,6,6.7
PacRim Ingredients,Sauces & Condiments,SKU-089,Germany,DC-Berlin,Air-Freight,Delivered,On-Time,-491,6797.25,1,4.5
Hartmann Foods GmbH,Pasta & Noodles,SKU-097,Thailand,DC-Berlin,Direct-EU,Delayed,On-Time,-475,981.47,0,0.5
SolVita Mediterranean,Baking Ingredients,SKU-115,China,DC-Hamburg,Air-Freight,Cancelled,Carrier-Shortage,-111,23629.02,1,11.2
PacRim Ingredients,Sauces & Condiments,SKU-113,Greece,DC-Mülheim,Direct-EU,Delivered,On-Time,-204,23160.84,1,1
SolVita Mediterranean,Snacks & Nuts,SKU-161,Turkey,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-162,55214.85,2,6
SolVita Mediterranean,Cooking Oils,SKU-052,Spain,DC-München,Air-Freight,Delivered,On-Time,-117,15982.98,2,11.6
SolVita Mediterranean,Baking Ingredients,SKU-071,Italy,DC-Mülheim,Air-Freight,Delivered,On-Time,-636,40816.41,0,5.2
PacRim Ingredients,Baking Ingredients,SKU-100,Spain,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-627,12324.87,2,-0.5
Hartmann Foods GmbH,Baking Ingredients,SKU-173,Thailand,DC-Stuttgart,Air-Freight,Cancelled,On-Time,-96,15874.03,15,10.4
Hartmann Foods GmbH,Cooking Oils,SKU-004,China,DC-Mülheim,Suez-Canal,Partially-Delivered,Route-Diversion,-30,44612.46,25,9.9
Hartmann Foods GmbH,Snacks & Nuts,SKU-151,Italy,DC-Berlin,Air-Freight,Delivered,On-Time,-244,33381.34,1,5.3
Hartmann Foods GmbH,Cooking Oils,SKU-153,Greece,DC-Mülheim,Air-Freight,Delayed,On-Time,-12,105606.71,21,15
Hartmann Foods GmbH,Baking Ingredients,SKU-025,Spain,DC-Berlin,Hormuz-Strait,Cancelled,Hormuz-Closure,-558,20877.05,0,2.5
SolVita Mediterranean,Cooking Oils,SKU-053,Turkey,DC-Berlin,Suez-Canal,Partially-Delivered,Weather,-383,14541.63,3,0.7
Hartmann Foods GmbH,Cooking Oils,SKU-161,China,DC-Mülheim,Cape-of-Good-Hope,In-Transit,On-Time,-426,37706.75,3,4.4
PacRim Ingredients,Pasta & Noodles,SKU-081,Germany,DC-Stuttgart,Hormuz-Strait,In-Transit,Customs-Hold,-343,6609.85,5,4.9
SolVita Mediterranean,Sauces & Condiments,SKU-175,Italy,DC-Mülheim,Hormuz-Strait,Cancelled,On-Time,-449,9246.56,0,4.2
PacRim Ingredients,Rice & Grains,SKU-021,Vietnam,DC-Berlin,Direct-EU,Delivered,On-Time,-244,18319.64,1,1.2
PacRim Ingredients,Sauces & Condiments,SKU-194,Thailand,DC-Hamburg,Suez-Canal,Delivered,On-Time,-280,25578.84,1,2.6
Hartmann Foods GmbH,Pasta & Noodles,SKU-088,Greece,DC-Hamburg,Direct-EU,Delivered,On-Time,-480,32593.09,1,0.8
Hartmann Foods GmbH,Beverages,SKU-001,China,DC-Mülheim,Suez-Canal,Delivered,On-Time,-427,46154.69,1,3.6
Hartmann Foods GmbH,Baking Ingredients,SKU-143,Vietnam,DC-Mülheim,Air-Freight,In-Transit,On-Time,-424,16819.94,5,5.2
SolVita Mediterranean,Baking Ingredients,SKU-132,Italy,DC-Mülheim,Direct-EU,In-Transit,On-Time,-161,35708.91,7,-0.8
PacRim Ingredients,Pasta & Noodles,SKU-003,Vietnam,DC-Hamburg,Suez-Canal,Delivered,Weather,-417,17394.24,13,1
Hartmann Foods GmbH,Pasta & Noodles,SKU-054,Germany,DC-München,Hormuz-Strait,Delivered,On-Time,-374,19905.47,1,2.2
SolVita Mediterranean,Sauces & Condiments,SKU-199,Greece,DC-München,Cape-of-Good-Hope,In-Transit,Hormuz-Closure,-390,6467.71,2,4.3
SolVita Mediterranean,Cooking Oils,SKU-141,Turkey,DC-München,Hormuz-Strait,Delivered,Hormuz-Closure,-369,20520.07,8,4.6
Hartmann Foods GmbH,Beverages,SKU-104,Turkey,DC-Stuttgart,Cape-of-Good-Hope,In-Transit,On-Time,-145,34493.48,8,4
PacRim Ingredients,Pasta & Noodles,SKU-120,China,DC-Mülheim,Air-Freight,Delivered,On-Time,-126,23224.45,2,6.3
SolVita Mediterranean,Beverages,SKU-100,Vietnam,DC-Berlin,Suez-Canal,Delivered,On-Time,-490,80634.2,1,1.9
SolVita Mediterranean,Pasta & Noodles,SKU-066,Vietnam,DC-Hamburg,Hormuz-Strait,Cancelled,Customs-Hold,-328,1726.01,7,4.3
SolVita Mediterranean,Sauces & Condiments,SKU-055,Germany,DC-Mülheim,Hormuz-Strait,In-Transit,Weather,-376,3789.26,7,5.5
Hartmann Foods GmbH,Baking Ingredients,SKU-180,Thailand,DC-Stuttgart,Hormuz-Strait,In-Transit,Hormuz-Closure,-116,18998.61,14,6.1
PacRim Ingredients,Beverages,SKU-017,Vietnam,DC-Hamburg,Suez-Canal,Delivered,On-Time,-443,19400.38,1,0.3
SolVita Mediterranean,Rice & Grains,SKU-191,Greece,DC-Berlin,Direct-EU,In-Transit,On-Time,-320,24212.99,5,2
SolVita Mediterranean,Cooking Oils,SKU-007,Greece,DC-Hamburg,Direct-EU,Delayed,Route-Diversion,-134,51875.88,7,2.2
PacRim Ingredients,Baking Ingredients,SKU-041,Turkey,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-454,22936.64,1,2.4
PacRim Ingredients,Cooking Oils,SKU-013,Spain,DC-Berlin,Suez-Canal,Delivered,On-Time,-268,13625.49,1,3.1
SolVita Mediterranean,Pasta & Noodles,SKU-157,Spain,DC-Mülheim,Suez-Canal,Delivered,On-Time,-462,19579.66,1,3.7
Hartmann Foods GmbH,Snacks & Nuts,SKU-122,Germany,DC-Stuttgart,Air-Freight,In-Transit,On-Time,-337,32620.4,0,4.6
Hartmann Foods GmbH,Sauces & Condiments,SKU-005,Germany,DC-München,Direct-EU,Cancelled,Port-Congestion,-584,3806.8,5,2.5
SolVita Mediterranean,Rice & Grains,SKU-021,Italy,DC-Stuttgart,Direct-EU,Delivered,On-Time,-624,6207.73,0,1.6
Hartmann Foods GmbH,Baking Ingredients,SKU-026,Italy,DC-Berlin,Hormuz-Strait,Delivered,Customs-Hold,-118,47140.26,14,7.5
SolVita Mediterranean,Baking Ingredients,SKU-173,Thailand,DC-Mülheim,Hormuz-Strait,Delivered,On-Time,-523,4037.08,1,5.2
PacRim Ingredients,Rice & Grains,SKU-194,Turkey,DC-Stuttgart,Direct-EU,Partially-Delivered,Carrier-Shortage,-144,6512.56,0,3.9
Hartmann Foods GmbH,Sauces & Condiments,SKU-106,Thailand,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-422,29430.16,4,3.6
PacRim Ingredients,Pasta & Noodles,SKU-101,Spain,DC-Hamburg,Cape-of-Good-Hope,Delivered,On-Time,-420,1371.88,1,3.5
SolVita Mediterranean,Baking Ingredients,SKU-119,Greece,DC-Mülheim,Air-Freight,Delayed,Route-Diversion,-222,113772.52,2,5.8
SolVita Mediterranean,Snacks & Nuts,SKU-069,Italy,DC-München,Direct-EU,In-Transit,Carrier-Shortage,-323,16468.92,7,1.1
PacRim Ingredients,Baking Ingredients,SKU-137,Italy,DC-München,Direct-EU,Cancelled,Route-Diversion,-665,12404.77,3,2
Hartmann Foods GmbH,Sauces & Condiments,SKU-102,Vietnam,DC-Berlin,Air-Freight,Delivered,On-Time,-489,13845.86,4,3.7
PacRim Ingredients,Pasta & Noodles,SKU-030,Vietnam,DC-Mülheim,Direct-EU,Partially-Delivered,Hormuz-Closure,-48,11559.07,21,9.2
PacRim Ingredients,Beverages,SKU-197,Turkey,DC-Hamburg,Direct-EU,Delivered,On-Time,-260,81282.07,4,0.9
PacRim Ingredients,Sauces & Condiments,SKU-044,Germany,DC-Berlin,Air-Freight,Delivered,On-Time,-355,5525.74,1,3.5
PacRim Ingredients,Baking Ingredients,SKU-092,Greece,DC-Mülheim,Cape-of-Good-Hope,Partially-Delivered,Port-Congestion,-646,18306.37,5,5.7
Hartmann Foods GmbH,Snacks & Nuts,SKU-028,Thailand,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-716,12020.64,1,1.3
SolVita Mediterranean,Pasta & Noodles,SKU-160,Thailand,DC-Hamburg,Hormuz-Strait,Delivered,On-Time,-631,22782.45,0,1.5
Hartmann Foods GmbH,Baking Ingredients,SKU-109,Turkey,DC-München,Cape-of-Good-Hope,Delayed,Weather,-48,25122.15,21,15
SolVita Mediterranean,Pasta & Noodles,SKU-102,Thailand,DC-Stuttgart,Direct-EU,Delayed,Customs-Hold,-108,10862.91,11,7.3
SolVita Mediterranean,Snacks & Nuts,SKU-105,Italy,DC-Mülheim,Cape-of-Good-Hope,In-Transit,Hormuz-Closure,-14,40615.52,23,13.9
PacRim Ingredients,Cooking Oils,SKU-120,Spain,DC-München,Cape-of-Good-Hope,Delayed,Hormuz-Closure,-444,13122.56,9,4.2
Hartmann Foods GmbH,Pasta & Noodles,SKU-128,Spain,DC-Hamburg,Hormuz-Strait,In-Transit,Carrier-Shortage,-371,13866.58,0,2.3
Hartmann Foods GmbH,Pasta & Noodles,SKU-180,Turkey,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-191,12440.17,1,5.7
PacRim Ingredients,Beverages,SKU-128,Turkey,DC-Hamburg,Cape-of-Good-Hope,Delayed,Route-Diversion,-96,16372.57,13,10.9
PacRim Ingredients,Sauces & Condiments,SKU-199,Italy,DC-Berlin,Air-Freight,Cancelled,Carrier-Shortage,-544,15259.5,4,2.6
Hartmann Foods GmbH,Beverages,SKU-056,Thailand,DC-Stuttgart,Hormuz-Strait,Delivered,On-Time,-259,60822.01,1,3.9
SolVita Mediterranean,Baking Ingredients,SKU-034,Greece,DC-Stuttgart,Cape-of-Good-Hope,In-Transit,Weather,-22,15356.48,34,13.5
Hartmann Foods GmbH,Baking Ingredients,SKU-140,Italy,DC-Stuttgart,Air-Freight,In-Transit,Port-Congestion,-194,25269.44,0,5.5
SolVita Mediterranean,Baking Ingredients,SKU-049,Spain,DC-Hamburg,Direct-EU,Delayed,Carrier-Shortage,-1,32471.29,22,10.3
PacRim Ingredients,Beverages,SKU-149,China,DC-Hamburg,Cape-of-Good-Hope,Delayed,Carrier-Shortage,-36,58006.73,28,15
SolVita Mediterranean,Canned Goods,SKU-141,Turkey,DC-Berlin,Suez-Canal,Delivered,On-Time,-322,25071.31,3,1.9
PacRim Ingredients,Sauces & Condiments,SKU-163,Turkey,DC-Mülheim,Suez-Canal,In-Transit,On-Time,-677,21645.28,0,1.2
SolVita Mediterranean,Beverages,SKU-055,Greece,DC-München,Direct-EU,Delivered,On-Time,-320,54059.96,1,2
Hartmann Foods GmbH,Rice & Grains,SKU-067,Spain,DC-München,Direct-EU,Delivered,On-Time,-43,30645.94,3,10.7
PacRim Ingredients,Snacks & Nuts,SKU-102,Germany,DC-Mülheim,Direct-EU,Partially-Delivered,On-Time,-596,4459.02,9,-0.9
PacRim Ingredients,Cooking Oils,SKU-124,Greece,DC-Mülheim,Direct-EU,Delayed,Port-Congestion,-231,43845.36,6,-0.1
PacRim Ingredients,Baking Ingredients,SKU-106,Germany,DC-Mülheim,Air-Freight,In-Transit,Weather,-327,12276.66,8,6.6
PacRim Ingredients,Sauces & Condiments,SKU-091,Greece,DC-München,Cape-of-Good-Hope,Partially-Delivered,Carrier-Shortage,-528,5682.19,6,2.6
Hartmann Foods GmbH,Beverages,SKU-132,Vietnam,DC-München,Hormuz-Strait,Delayed,Hormuz-Closure,-17,118937.16,22,13.1
PacRim Ingredients,Baking Ingredients,SKU-017,Germany,DC-Berlin,Hormuz-Strait,In-Transit,Port-Congestion,-690,31147.37,6,3.5
SolVita Mediterranean,Beverages,SKU-088,Turkey,DC-München,Direct-EU,Delivered,On-Time,-432,1916.74,1,0
SolVita Mediterranean,Sauces & Condiments,SKU-034,Greece,DC-Hamburg,Direct-EU,Cancelled,On-Time,-13,34123.7,24,9.4
PacRim Ingredients,Cooking Oils,SKU-064,Germany,DC-Berlin,Direct-EU,Delivered,On-Time,-659,24182.36,0,1
PacRim Ingredients,Snacks & Nuts,SKU-143,Thailand,DC-Stuttgart,Hormuz-Strait,In-Transit,On-Time,-631,23890.52,0,1.5
PacRim Ingredients,Pasta & Noodles,SKU-164,Turkey,DC-München,Cape-of-Good-Hope,Delivered,On-Time,-689,26892.53,3,3.3
SolVita Mediterranean,Sauces & Condiments,SKU-042,Greece,DC-Stuttgart,Suez-Canal,Delivered,On-Time,-564,15742.6,0,-1.2
Hartmann Foods GmbH,Rice & Grains,SKU-091,Italy,DC-Berlin,Cape-of-Good-Hope,Delivered,On-Time,-478,16159.97,3,3.7
PacRim Ingredients,Sauces & Condiments,SKU-141,Thailand,DC-Mülheim,Hormuz-Strait,Partially-Delivered,Weather,-552,12041.9,1,5.2
PacRim Ingredients,Pasta & Noodles,SKU-094,Germany,DC-Hamburg,Air-Freight,Delivered,On-Time,-389,7535.39,1,3.8
Hartmann Foods GmbH,Pasta & Noodles,SKU-134,China,DC-Stuttgart,Air-Freight,In-Transit,Route-Diversion,-2,21966.2,29,15
